Entity,Code,Year,Censorship of LGBT issues (current)
North Korea,PRK,2023,04. Other punishment
North Macedonia,MKD,2023,01. No censorship
Norway,NOR,2023,01. No censorship
Oman,OMN,2023,06. State-enforced
Pakistan,PAK,2023,01. No censorship
Palau,PLW,2023,01. No censorship
Palestine,PSE,2023,02. Varies by region
Panama,PAN,2023,01. No censorship
Papua New Guinea,PNG,2023,01. No censorship
Paraguay,PRY,2023,06. State-enforced
Peru,PER,2023,01. No censorship
Philippines,PHL,2023,01. No censorship
Pitcairn,PCN,2023,01. No censorship
Poland,POL,2023,06. State-enforced
Portugal,PRT,2023,01. No censorship
Qatar,QAT,2023,06. State-enforced
Reunion,REU,2023,01. No censorship
Romania,ROU,2023,01. No censorship
Russia,RUS,2023,05. Fine as punishment
Rwanda,RWA,2023,01. No censorship
Saint Helena,SHN,2023,01. No censorship
Saint Kitts and Nevis,KNA,2023,01. No censorship
Saint Lucia,LCA,2023,01. No censorship
Saint Pierre and Miquelon,SPM,2023,01. No censorship
Saint Vincent and the Grenadines,VCT,2023,01. No censorship
Samoa,WSM,2023,01. No censorship
San Marino,SMR,2023,01. No censorship
Sao Tome and Principe,STP,2023,01. No censorship
Saudi Arabia,SAU,2023,07. Imprisonment as punishment
Senegal,SEN,2023,01. No censorship
Serbia,SRB,2023,01. No censorship
Seychelles,SYC,2023,01. No censorship
Sierra Leone,SLE,2023,01. No censorship
Singapore,SGP,2023,01. No censorship
Sint Maarten (Dutch part),SXM,2023,01. No censorship
Slovakia,SVK,2023,01. No censorship
Slovenia,SVN,2023,01. No censorship
Solomon Islands,SLB,2023,01. No censorship
South Africa,ZAF,2023,01. No censorship
South Georgia and the South Sandwich Islands,SGS,2023,01. No censorship
South Korea,KOR,2023,03. Ambiguous
South Sudan,SSD,2023,01. No censorship
Spain,ESP,2023,01. No censorship
Sri Lanka,LKA,2023,01. No censorship
Sudan,SDN,2023,01. No censorship
Suriname,SUR,2023,01. No censorship
Sweden,SWE,2023,01. No censorship
Switzerland,CHE,2023,01. No censorship
Syria,SYR,2023,01. No censorship
Taiwan,TWN,2023,01. No censorship
Tajikistan,TJK,2023,03. Ambiguous
Tanzania,TZA,2023,01. No censorship
Thailand,THA,2023,01. No censorship
Timor,,2023,01. No censorship
Togo,TGO,2023,01. No censorship
Tokelau,TKL,2023,01. No censorship
Tonga,TON,2023,01. No censorship
Trinidad and Tobago,TTO,2023,01. No censorship
Tunisia,TUN,2023,07. Imprisonment as punishment
Turkey,TUR,2023,06. State-enforced
Turkmenistan,TKM,2023,01. No censorship
Turks and Caicos Islands,TCA,2023,01. No censorship
Tuvalu,TUV,2023,01. No censorship
Uganda,UGA,2023,07. Imprisonment as punishment
Ukraine,UKR,2023,01. No censorship
United Arab Emirates,ARE,2023,06. State-enforced
United Kingdom,GBR,2023,01. No censorship
United States,USA,2023,02. Varies by region
Uruguay,URY,2023,01. No censorship
Uzbekistan,UZB,2023,01. No censorship
Vanuatu,VUT,2023,01. No censorship
Vatican,VAT,2023,04. Other punishment
Venezuela,VEN,2023,01. No censorship
Vietnam,VNM,2023,01. No censorship
Wallis and Futuna,WLF,2023,01. No censorship
Western Sahara,ESH,2023,01. No censorship
Yemen,YEM,2023,07. Imprisonment as punishment
Zambia,ZMB,2023,01. No censorship
Zimbabwe,ZWE,2023,01. No censorship
