Entity,Code,Year,Same-sex adoption (current)
Philippines,PHL,2023,04. Single only
Pitcairn,PCN,2023,04. Single only
Poland,POL,2023,04. Single only
Portugal,PRT,2023,01. Legal
Qatar,QAT,2023,06. Illegal
Reunion,REU,2023,01. Legal
Romania,ROU,2023,04. Single only
Russia,RUS,2023,04. Single only
Rwanda,RWA,2023,06. Illegal
Saint Helena,SHN,2023,01. Legal
Saint Kitts and Nevis,KNA,2023,04. Single only
Saint Lucia,LCA,2023,04. Single only
Saint Pierre and Miquelon,SPM,2023,01. Legal
Saint Vincent and the Grenadines,VCT,2023,04. Single only
Samoa,WSM,2023,04. Single only
San Marino,SMR,2023,04. Single only
Sao Tome and Principe,STP,2023,04. Single only
Saudi Arabia,SAU,2023,06. Illegal
Senegal,SEN,2023,04. Single only
Serbia,SRB,2023,06. Illegal
Seychelles,SYC,2023,04. Single only
Sierra Leone,SLE,2023,04. Single only
Singapore,SGP,2023,05. Ambiguous
Sint Maarten (Dutch part),SXM,2023,04. Single only
Slovakia,SVK,2023,04. Single only
Slovenia,SVN,2023,01. Legal
Solomon Islands,SLB,2023,04. Single only
Somalia,SOM,2023,04. Single only
South Africa,ZAF,2023,01. Legal
South Georgia and the South Sandwich Islands,SGS,2023,01. Legal
South Korea,KOR,2023,06. Illegal
South Sudan,SSD,2023,04. Single only
Spain,ESP,2023,01. Legal
Sri Lanka,LKA,2023,06. Illegal
Sudan,SDN,2023,04. Single only
Suriname,SUR,2023,04. Single only
Sweden,SWE,2023,01. Legal
Switzerland,CHE,2023,01. Legal
Syria,SYR,2023,06. Illegal
Taiwan,TWN,2023,02. Married couples only
Tajikistan,TJK,2023,06. Illegal
Tanzania,TZA,2023,06. Illegal
Thailand,THA,2023,06. Illegal
Timor,,2023,04. Single only
Togo,TGO,2023,04. Single only
Tokelau,TKL,2023,04. Single only
Tonga,TON,2023,06. Illegal
Trinidad and Tobago,TTO,2023,04. Single only
Tunisia,TUN,2023,04. Single only
Turkey,TUR,2023,04. Single only
Turkmenistan,TKM,2023,04. Single only
Turks and Caicos Islands,TCA,2023,04. Single only
Tuvalu,TUV,2023,04. Single only
Uganda,UGA,2023,04. Single only
Ukraine,UKR,2023,04. Single only
United Arab Emirates,ARE,2023,06. Illegal
United Kingdom,GBR,2023,01. Legal
United States,USA,2023,01. Legal
Uruguay,URY,2023,01. Legal
Uzbekistan,UZB,2023,06. Illegal
Vanuatu,VUT,2023,04. Single only
Venezuela,VEN,2023,04. Single only
Vietnam,VNM,2023,04. Single only
Wallis and Futuna,WLF,2023,01. Legal
Western Sahara,ESH,2023,04. Single only
Yemen,YEM,2023,06. Illegal
Zambia,ZMB,2023,06. Illegal
Zimbabwe,ZWE,2023,04. Single only
