Entity,Code,Year,Serving openly in the military (current)
Saint Pierre and Miquelon,SPM,2023,01. Legal
San Marino,SMR,2023,01. Legal
Sao Tome and Principe,STP,2023,01. Legal
Saudi Arabia,SAU,2023,05. Illegal
Senegal,SEN,2023,05. Illegal
Serbia,SRB,2023,"03. Lesbians, gays, bisexuals permitted, transgender people banned"
Seychelles,SYC,2023,01. Legal
Sierra Leone,SLE,2023,05. Illegal
Singapore,SGP,2023,01. Legal
Sint Maarten (Dutch part),SXM,2023,01. Legal
Slovakia,SVK,2023,"03. Lesbians, gays, bisexuals permitted, transgender people banned"
Slovenia,SVN,2023,"03. Lesbians, gays, bisexuals permitted, transgender people banned"
Somalia,SOM,2023,05. Illegal
South Africa,ZAF,2023,01. Legal
South Georgia and the South Sandwich Islands,SGS,2023,01. Legal
South Korea,KOR,2023,05. Illegal
South Sudan,SSD,2023,05. Illegal
Spain,ESP,2023,01. Legal
Sri Lanka,LKA,2023,05. Illegal
Sudan,SDN,2023,05. Illegal
Suriname,SUR,2023,01. Legal
Sweden,SWE,2023,01. Legal
Switzerland,CHE,2023,01. Legal
Syria,SYR,2023,"02. Don't Ask, Don't Tell"
Taiwan,TWN,2023,"03. Lesbians, gays, bisexuals permitted, transgender people banned"
Tajikistan,TJK,2023,"02. Don't Ask, Don't Tell"
Tanzania,TZA,2023,05. Illegal
Thailand,THA,2023,01. Legal
Timor,,2023,04. Ambiguous
Togo,TGO,2023,05. Illegal
Tokelau,TKL,2023,01. Legal
Tonga,TON,2023,01. Legal
Trinidad and Tobago,TTO,2023,01. Legal
Tunisia,TUN,2023,04. Ambiguous
Turkey,TUR,2023,05. Illegal
Turkmenistan,TKM,2023,04. Ambiguous
Turks and Caicos Islands,TCA,2023,01. Legal
Uganda,UGA,2023,05. Illegal
Ukraine,UKR,2023,01. Legal
United Arab Emirates,ARE,2023,05. Illegal
United Kingdom,GBR,2023,01. Legal
United States,USA,2023,01. Legal
Uruguay,URY,2023,01. Legal
Uzbekistan,UZB,2023,04. Ambiguous
Venezuela,VEN,2023,"03. Lesbians, gays, bisexuals permitted, transgender people banned"
Vietnam,VNM,2023,01. Legal
Western Sahara,ESH,2023,01. Legal
Yemen,YEM,2023,05. Illegal
Zambia,ZMB,2023,"02. Don't Ask, Don't Tell"
Zimbabwe,ZWE,2023,01. Legal
