Entity,Code,Year,Right to change legal gender (current)
Micronesia (country),FSM,2023,05. Illegal
Moldova,MDA,2023,"02. Legal, but requires surgery"
Monaco,MCO,2023,05. Illegal
Mongolia,MNG,2023,"02. Legal, but requires surgery"
Montenegro,MNE,2023,"02. Legal, but requires surgery"
Montserrat,MSR,2023,04. Ambiguous
Morocco,MAR,2023,05. Illegal
Mozambique,MOZ,2023,05. Illegal
Myanmar,MMR,2023,05. Illegal
Namibia,NAM,2023,"02. Legal, but requires surgery"
Nauru,NRU,2023,05. Illegal
Nepal,NPL,2023,"01. Legal, surgery not required"
Netherlands,NLD,2023,"01. Legal, surgery not required"
New Caledonia,NCL,2023,"01. Legal, surgery not required"
New Zealand,NZL,2023,"01. Legal, surgery not required"
Nicaragua,NIC,2023,05. Illegal
Niger,NER,2023,04. Ambiguous
Nigeria,NGA,2023,05. Illegal
Niue,NIU,2023,"01. Legal, surgery not required"
Norfolk Island,NFK,2023,"01. Legal, surgery not required"
North Korea,PRK,2023,05. Illegal
North Macedonia,MKD,2023,"02. Legal, but requires surgery"
Norway,NOR,2023,"01. Legal, surgery not required"
Oman,OMN,2023,05. Illegal
Pakistan,PAK,2023,"01. Legal, surgery not required"
Palau,PLW,2023,05. Illegal
Palestine,PSE,2023,04. Ambiguous
Panama,PAN,2023,"02. Legal, but requires surgery"
Papua New Guinea,PNG,2023,05. Illegal
Paraguay,PRY,2023,05. Illegal
Peru,PER,2023,"01. Legal, surgery not required"
Philippines,PHL,2023,04. Ambiguous
Pitcairn,PCN,2023,04. Ambiguous
Poland,POL,2023,"02. Legal, but requires surgery"
Portugal,PRT,2023,"01. Legal, surgery not required"
Reunion,REU,2023,"01. Legal, surgery not required"
Romania,ROU,2023,"02. Legal, but requires surgery"
Russia,RUS,2023,04. Ambiguous
Rwanda,RWA,2023,05. Illegal
Saint Helena,SHN,2023,"01. Legal, surgery not required"
Saint Kitts and Nevis,KNA,2023,05. Illegal
Saint Lucia,LCA,2023,05. Illegal
Saint Pierre and Miquelon,SPM,2023,"01. Legal, surgery not required"
Saint Vincent and the Grenadines,VCT,2023,05. Illegal
Samoa,WSM,2023,05. Illegal
San Marino,SMR,2023,05. Illegal
Sao Tome and Principe,STP,2023,04. Ambiguous
Saudi Arabia,SAU,2023,05. Illegal
Senegal,SEN,2023,04. Ambiguous
Serbia,SRB,2023,"01. Legal, surgery not required"
Seychelles,SYC,2023,05. Illegal
Sierra Leone,SLE,2023,04. Ambiguous
Singapore,SGP,2023,"02. Legal, but requires surgery"
Sint Maarten (Dutch part),SXM,2023,04. Ambiguous
Slovakia,SVK,2023,04. Ambiguous
Slovenia,SVN,2023,"01. Legal, surgery not required"
Solomon Islands,SLB,2023,05. Illegal
Somalia,SOM,2023,05. Illegal
South Africa,ZAF,2023,"01. Legal, surgery not required"
South Georgia and the South Sandwich Islands,SGS,2023,"01. Legal, surgery not required"
South Korea,KOR,2023,"02. Legal, but requires surgery"
South Sudan,SSD,2023,05. Illegal
Spain,ESP,2023,"01. Legal, surgery not required"
Sri Lanka,LKA,2023,"02. Legal, but requires surgery"
Sudan,SDN,2023,04. Ambiguous
Suriname,SUR,2023,05. Illegal
Sweden,SWE,2023,"01. Legal, surgery not required"
Switzerland,CHE,2023,"01. Legal, surgery not required"
Syria,SYR,2023,"02. Legal, but requires surgery"
Taiwan,TWN,2023,"02. Legal, but requires surgery"
Tajikistan,TJK,2023,"02. Legal, but requires surgery"
Tanzania,TZA,2023,04. Ambiguous
Timor,,2023,05. Illegal
Togo,TGO,2023,04. Ambiguous
Tokelau,TKL,2023,04. Ambiguous
Tonga,TON,2023,05. Illegal
Trinidad and Tobago,TTO,2023,05. Illegal
Tunisia,TUN,2023,05. Illegal
Turkey,TUR,2023,"02. Legal, but requires surgery"
Turkmenistan,TKM,2023,05. Illegal
Turks and Caicos Islands,TCA,2023,04. Ambiguous
Tuvalu,TUV,2023,05. Illegal
Uganda,UGA,2023,04. Ambiguous
Ukraine,UKR,2023,"01. Legal, surgery not required"
United Arab Emirates,ARE,2023,05. Illegal
United Kingdom,GBR,2023,"01. Legal, surgery not required"
United States,USA,2023,03. Varies by region
Uruguay,URY,2023,"01. Legal, surgery not required"
Uzbekistan,UZB,2023,04. Ambiguous
Vanuatu,VUT,2023,05. Illegal
Vatican,VAT,2023,05. Illegal
Venezuela,VEN,2023,05. Illegal
Vietnam,VNM,2023,"02. Legal, but requires surgery"
Wallis and Futuna,WLF,2023,"01. Legal, surgery not required"
Western Sahara,ESH,2023,04. Ambiguous
Zambia,ZMB,2023,04. Ambiguous
