Entity,Code,Year,LGBT discrimination (current)
North Korea,PRK,2023,04. No protections
North Macedonia,MKD,2023,01. Illegal
Norway,NOR,2023,01. Illegal
Oman,OMN,2023,04. No protections
Pakistan,PAK,2023,02. Illegal in some contexts
Palau,PLW,2023,04. No protections
Palestine,PSE,2023,04. No protections
Panama,PAN,2023,04. No protections
Papua New Guinea,PNG,2023,04. No protections
Paraguay,PRY,2023,02. Illegal in some contexts
Peru,PER,2023,01. Illegal
Philippines,PHL,2023,02. Illegal in some contexts
Pitcairn,PCN,2023,01. Illegal
Poland,POL,2023,02. Illegal in some contexts
Portugal,PRT,2023,01. Illegal
Qatar,QAT,2023,04. No protections
Reunion,REU,2023,01. Illegal
Romania,ROU,2023,01. Illegal
Russia,RUS,2023,04. No protections
Rwanda,RWA,2023,02. Illegal in some contexts
Saint Helena,SHN,2023,01. Illegal
Saint Kitts and Nevis,KNA,2023,02. Illegal in some contexts
Saint Lucia,LCA,2023,02. Illegal in some contexts
Saint Pierre and Miquelon,SPM,2023,01. Illegal
Saint Vincent and the Grenadines,VCT,2023,02. Illegal in some contexts
Samoa,WSM,2023,02. Illegal in some contexts
San Marino,SMR,2023,01. Illegal
Sao Tome and Principe,STP,2023,02. Illegal in some contexts
Saudi Arabia,SAU,2023,04. No protections
Senegal,SEN,2023,04. No protections
Serbia,SRB,2023,01. Illegal
Seychelles,SYC,2023,02. Illegal in some contexts
Sierra Leone,SLE,2023,02. Illegal in some contexts
Singapore,SGP,2023,02. Illegal in some contexts
Sint Maarten (Dutch part),SXM,2023,04. No protections
Slovakia,SVK,2023,01. Illegal
Slovenia,SVN,2023,01. Illegal
Solomon Islands,SLB,2023,04. No protections
Somalia,SOM,2023,04. No protections
South Africa,ZAF,2023,01. Illegal
South Georgia and the South Sandwich Islands,SGS,2023,01. Illegal
South Korea,KOR,2023,02. Illegal in some contexts
South Sudan,SSD,2023,04. No protections
Spain,ESP,2023,01. Illegal
Sri Lanka,LKA,2023,04. No protections
Sudan,SDN,2023,04. No protections
Suriname,SUR,2023,02. Illegal in some contexts
Sweden,SWE,2023,01. Illegal
Switzerland,CHE,2023,02. Illegal in some contexts
Syria,SYR,2023,04. No protections
Taiwan,TWN,2023,01. Illegal
Tajikistan,TJK,2023,04. No protections
Tanzania,TZA,2023,04. No protections
Thailand,THA,2023,01. Illegal
Timor,,2023,02. Illegal in some contexts
Togo,TGO,2023,04. No protections
Tokelau,TKL,2023,04. No protections
Tonga,TON,2023,02. Illegal in some contexts
Trinidad and Tobago,TTO,2023,04. No protections
Tunisia,TUN,2023,04. No protections
Turkey,TUR,2023,01. Illegal
Turkmenistan,TKM,2023,04. No protections
Turks and Caicos Islands,TCA,2023,01. Illegal
Tuvalu,TUV,2023,04. No protections
Uganda,UGA,2023,04. No protections
Ukraine,UKR,2023,02. Illegal in some contexts
United Arab Emirates,ARE,2023,04. No protections
United Kingdom,GBR,2023,01. Illegal
United States,USA,2023,03. Varies by region
Uruguay,URY,2023,01. Illegal
Uzbekistan,UZB,2023,04. No protections
Vanuatu,VUT,2023,01. Illegal
Vatican,VAT,2023,04. No protections
Venezuela,VEN,2023,02. Illegal in some contexts
Vietnam,VNM,2023,04. No protections
Wallis and Futuna,WLF,2023,01. Illegal
Western Sahara,ESH,2023,04. No protections
Yemen,YEM,2023,04. No protections
Zambia,ZMB,2023,04. No protections
Zimbabwe,ZWE,2023,02. Illegal in some contexts
